Sigla;Código;Estado;Ano;IDH;Melhora_1991_2024
AC;12;Acre;1991;0,402;0,352
AC;12;Acre;2000;0,517;0,352
AC;12;Acre;2010;0,663;0,352
AC;12;Acre;2012;0,705;0,352
AC;12;Acre;2013;0,709;0,352
AC;12;Acre;2014;0,719;0,352
AC;12;Acre;2015;0,719;0,352
AC;12;Acre;2016;0,723;0,352
AC;12;Acre;2017;0,711;0,352
AC;12;Acre;2018;0,731;0,352
AC;12;Acre;2019;0,738;0,352
AC;12;Acre;2020;0,736;0,352
AC;12;Acre;2021;0,702;0,352
AC;12;Acre;2022;0,732;0,352
AC;12;Acre;2023;0,74;0,352
AC;12;Acre;2024;0,754;0,352
AL;27;Alagoas;1991;0,37;0,376
AL;27;Alagoas;2000;0,471;0,376
AL;27;Alagoas;2010;0,631;0,376
AL;27;Alagoas;2012;0,657;0,376
AL;27;Alagoas;2013;0,653;0,376
AL;27;Alagoas;2014;0,67;0,376
AL;27;Alagoas;2015;0,669;0,376
AL;27;Alagoas;2016;0,68;0,376
AL;27;Alagoas;2017;0,682;0,376
AL;27;Alagoas;2018;0,694;0,376
AL;27;Alagoas;2019;0,693;0,376
AL;27;Alagoas;2020;0,694;0,376
AL;27;Alagoas;2021;0,691;0,376
AL;27;Alagoas;2022;0,722;0,376
AL;27;Alagoas;2023;0,739;0,376
AL;27;Alagoas;2024;0,746;0,376
AM;13;Amazonas;1991;0,43;0,337
AM;13;Amazonas;2000;0,515;0,337
AM;13;Amazonas;2010;0,674;0,337
AM;13;Amazonas;2012;0,706;0,337
AM;13;Amazonas;2013;0,717;0,337
AM;13;Amazonas;2014;0,72;0,337
AM;13;Amazonas;2015;0,724;0,337
AM;13;Amazonas;2016;0,723;0,337
AM;13;Amazonas;2017;0,743;0,337
AM;13;Amazonas;2018;0,732;0,337
AM;13;Amazonas;2019;0,739;0,337
AM;13;Amazonas;2020;0,725;0,337
AM;13;Amazonas;2021;0,7;0,337
AM;13;Amazonas;2022;0,757;0,337
AM;13;Amazonas;2023;0,764;0,337
AM;13;Amazonas;2024;0,767;0,337
